question,option_a,option_b,option_c,option_d,correct_answer
"What do plants need to make food?",Water only,Sunlight only,"Sunlight, water, and carbon dioxide",Soil only,C
"Which planet is closest to the Sun?",Earth,Mars,Venus,Mercury,D
"What is the process plants use to make food called?",Respiration,Photosynthesis,Digestion,Circulation,B
"How many bones are in the human body?",156,206,256,306,B
"What gas do we breathe in?",Carbon dioxide,Oxygen,Nitrogen,Hydrogen,B
"Which is NOT a state of matter?",Solid,Liquid,Gas,Energy,D
"What is the largest organ in the human body?",Heart,Brain,Liver,Skin,D
"Which animal is a mammal?",Eagle,Snake,Whale,Frog,C
"What causes day and night?",Earth's orbit around the Sun,Earth's rotation on its axis,The Moon's movement,The Sun's movement,B
"Which is a renewable energy source?",Coal,Oil,Solar power,Natural gas,C
"What is the center of an atom called?",Electron,Proton,Neutron,Nucleus,D
"Which system pumps blood through your body?",Respiratory system,Digestive system,Circulatory system,Nervous system,C
"What is water made of?",One oxygen and one hydrogen,Two oxygen and one hydrogen,One oxygen and two hydrogen,Three hydrogen atoms,C
"Which is the hardest natural substance?",Gold,Iron,Diamond,Silver,C
"What do we call animals that eat only plants?",Carnivores,Omnivores,Herbivores,Predators,C
"Which force pulls objects toward Earth?",Magnetism,Electricity,Gravity,Friction,C
"What is the smallest unit of life?",Organ,Tissue,Cell,Atom,C
"Which is a conductor of electricity?",Wood,Plastic,Copper,Rubber,C
"What is the weather condition with no clouds called?",Cloudy,Rainy,Stormy,Clear,D
"Which vitamin do we get from sunlight?",Vitamin A,Vitamin B,Vitamin C,Vitamin D,D
