question,option_a,option_b,option_c,option_d,correct_answer
"'Jambo' maana yake ni nini?",Hujambo,Habari,Salamu,Asante,C
"Neno 'mzuri' ni aina gani ya maneno?",Nomino,Kivumishi,Kitenzi,Kiunganishi,B
"Wingi wa 'mtoto' ni nini?",mitoto,watoto,batoto,matoto,B
"'Asante' maana yake ni nini?",Karibu,Pole,Shukrani,Samahani,C
"Kinyume cha 'kubwa' ni nini?",kidogo,kirefu,kigumu,kizuri,A
"'Kitabu' ni neno la aina gani?",Kivumishi,Nomino,Kitenzi,Kielezi,B
"Wakati uliopita wa 'kusoma' ni nini?",nilisoma,ninasoma,nitasoma,nasoma,A
"'Mama' ni neno la jinsia gani?",Kiume,Kike,Kizazi,Kawaida,B
"Sentensi gani ni sahihi?","Mimi napenda mayai","Mimi ni penda mayai","Mimi penda mayai","Napenda mimi mayai",A
"'Haraka haraka' ni mfano wa nini?",Methali,Misemo,Nahau,Vitendawili,C
"Neno 'shangazi' ni uhusiano gani?",Mama,Baba,Dada wa mama,Kaka wa baba,C
"Umoja wa 'malisho' ni nini?",mlisho,kilisho,jalisho,ulisho,A
"'Pole' tunasema wakati gani?",Wakati wa furaha,Wakati wa huzuni,Wakati wa mchezo,Wakati wa kula,B
"Kinyume cha 'juu' ni nini?",chini,kando,mbele,nyuma,A
"'Vyakula' ni wingi wa neno lipi?",chakula,kula,mlo,mkate,A
"Sentensi gani ina uongozi sahihi?","nina kitabu","Nina kitabu","nina Kitabu","NINA KITABU",B
"'Samaki' ni mnyama wa wapi?",msituni,jangwani,majini,anga,C
"Kitenzi 'kwenda' wakati ujao ni nini?",nilikwenda,ninakwenda,nitakwenda,nawenda,C
"'Bustani' ni mahali pa nini?",kucheza,kupanda mimea,kulala,kula,B
"Jedwali la siku za juma lina siku ngapi?",sita,saba,nane,tisa,B
