question,option_a,option_b,option_c,option_d,correct_answer
Which system controls all body functions?,Circulatory,Skeletal,Nervous,Respiratory,C
What is the process by which plants lose water through leaves?,Photosynthesis,Transpiration,Respiration,Evaporation,B
Which of these is a non-renewable energy source?,Solar,Sugar,Coal,Water,C
What is the smallest particle of an element?,Molecule,Cell,Atom,Compound,C
Which planet is known for its rings?,Jupiter,Mars,Saturn,Venus,C
What is the main function of white blood cells?,Carry oxygen,Fight disease,Clot blood,Carry food,B
What is a device that stores electrical charge?,Resistor,Capacitor,Battery,Switch,B
Which gas do humans exhale?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C
What is the force that opposes motion?,Friction,Gravity,Magnetism,Heat,A
What is the main component of natural gas?,Oxygen,Hydrogen,Methane,Nitrogen,C
