question,option_a,option_b,option_c,option_d,correct_answer
"What is 15 + 27?",40,42,45,38,B
"What is 8 × 7?",54,56,58,64,B
"What is 144 ÷ 12?",11,12,13,14,B
"What is 25% of 80?",15,20,25,30,B
"What is the area of a rectangle with length 8 and width 6?",42,44,48,52,C
"What is 3² + 4²?",23,24,25,26,C
"What is 0.75 as a fraction?",1/2,2/3,3/4,4/5,C
"What is the perimeter of a square with side length 9?",32,34,36,38,C
"What is 2/5 + 1/5?",2/5,3/5,4/5,1,B
"What is 100 - 37?",61,63,65,67,B
"What is 6 × 9?",52,54,56,58,B
"What is the next number in the sequence: 2, 4, 8, 16, ?",24,28,32,36,C
"What is 7 × 8?",54,56,58,60,B
"What is 81 ÷ 9?",8,9,10,11,B
"What is 12 + 15 + 18?",43,45,47,49,B
"What is 5³?",120,125,130,135,B
"What is 0.25 × 100?",20,25,30,35,B
"What is the sum of angles in a triangle?",150°,160°,170°,180°,D
"What is 49 ÷ 7?",6,7,8,9,B
"What is 13 × 4?",50,52,54,56,B
