question,option_a,option_b,option_c,option_d,correct_answer
What is the value of 5² + 4³?,89,90,91,92,A
What is 30% of 200?,50,60,70,80,B
What is the area of a circle with radius 14 cm? (Use π=22/7),616 cm²,626 cm²,636 cm²,646 cm²,A
What is the square root of 225?,13,14,15,16,C
What is 2x + 5 = 17? What is x?,5,6,7,8,B
What is the perimeter of a rectangle 15 cm by 10 cm?,40 cm,45 cm,50 cm,55 cm,C
What is the LCM of 15 and 20?,30,40,60,80,C
What is 0.8 as a fraction?,4/5,3/4,2/3,1/2,A
What is 7² - 3²?,40,42,44,46,A
What is the average of 10, 20, 30, and 40?,20,25,30,35,B
