question,option_a,option_b,option_c,option_d,correct_answer
Which is the largest county in Kenya by area?,Mandera,Turkana,Wajir,Marsabit,B
What do we call a person who studies the past?,Scientist,Geographer,Historian,Artist,C
Which community is known for beadwork?,Maasai,Luo,Kalenjin,Sabaot,A
What is the main export crop of Kenya?,Tea,Coffee,Sugar,Cotton,A
Which lake is the largest in Kenya?,Lake Turkana,Lake Victoria,Lake Naivasha,Lake Bogoria,B
What is the role of the judiciary?,Make laws,Enforce laws,Interpret laws,Command army,C
Which mountain is the highest in Kenya?,Mount Elgon,Mount Kenya,Mount Longonot,Mount Satima,B
What is a drought?,Too much rain,No rain for a long time,Heavy winds,Cold weather,B
Which is a traditional form of transport?,Car,Bicycle,Animal背,Boat,C
What is democracy?,Rule by one person,Rule by the people,Rule by military,Rule by king,B
