term,definition
Multiplication,Repeated addition: 6 × 7 = 42
Division,Splitting into equal parts: 42 ÷ 6 = 7
Fraction,Part of a whole: 3/4 means 3 out of 4 parts
Decimal,A number with a point: 0.25, 1.5
Percentage,Out of 100: 75% = 75 out of 100
Perimeter,Distance around a shape: Add all sides
Area,Space inside a rectangle: Length × Width
Circle,Round shape with radius and diameter
Triangle,3-sided polygon
Square,4 equal sides and 4 right angles
Rectangle,4 sides, opposite sides equal
Pattern,Sequence that repeats: 🔵🔴🔵🔴
Place value,Value by position: Ten Thousands, Thousands, Hundreds, Tens, Ones
Even number,Divisible by 2: 2, 4, 6, 8...
Odd number,Not divisible by 2: 1, 3, 5, 7...
