question,option_a,option_b,option_c,option_d,correct_answer
Which system transports oxygen in the body?,Respiratory,Skeletal,Circulatory,Digestive,C
What is the smallest unit of matter?,Cell,Molecule,Atom,Element,C
Which gas do plants absorb during photosynthesis?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C
What is the process by which water changes from gas to liquid?,Evaporation,Condensation,Melting,Freezing,B
Which of these is a conductor of electricity?,Wood,Plastic,Rubber,Metal,D
What is the main function of the lungs?,Pump blood,Breathe in oxygen,Filter blood,Produce hormones,B
Which planet is known as the Red Planet?,Venus,Earth,Mars,Jupiter,C
What is the force that pulls objects to the ground?,Friction,Gravity,Magnetism,Heat,B
What is a device that stores electrical energy?,Resistor,Capacitor,Battery,Switch,C
What is the main component of air?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,B
