question,option_a,option_b,option_c,option_d,correct_answer
What is the process by which plants make food?,Respiration,Photosynthesis,Evaporation,Condensation,B
Which planet do we live on?,Mars,Earth,Venus,Jupiter,B
What do we call animals that eat both plants and meat?,Herbivore,Carnivore,Omnivore,Scavenger,C
Which of these is a renewable source of energy?,Coal,Petrol,Solar power,Natural gas,C
What is the boiling point of water?,50°C,80°C,100°C,120°C,C
Which gas do humans breathe in?,Carbon dioxide,Nitrogen,Oxygen,Hydrogen,C
What is the place where an animal lives called?,House,Shelter,Home,Habitat,D
What causes day and night?,Movement of the Moon,Rotation of the Earth,Clouds covering the sun,Rain,B
Which of these is NOT a state of matter?,Solid,Liquid,Gas,Air,D
What do we call the path that planets follow around the sun?,Line,Circle,Orbit,Track,C
