question,option_a,option_b,option_c,option_d,correct_answer
Which system controls body functions?,Circulatory,Skeletal,Nervous,Respiratory,C
What is the smallest unit of matter?,Cell,Molecule,Atom,Element,C
Which gas do plants release during photosynthesis?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,A
What is the process by which water changes from liquid to gas?,Condensation,Evaporation,Melting,Freezing,B
Which of these is a conductor of electricity?,Wood,Plastic,Rubber,Metal,D
What is the main function of the heart?,Filter blood,Pump blood,Breathe in oxygen,Produce hormones,B
Which planet is known as the Red Planet?,Venus,Earth,Mars,Jupiter,C
What is the force that opposes motion?,Friction,Gravity,Magnetism,Heat,A
What is a device that stores electrical charge?,Resistor,Capacitor,Battery,Switch,B
What is the main component of natural gas?,Oxygen,Hydrogen,Methane,Nitrogen,C
